Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,11.87,0,0,38.38,46.76408,2.608611,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.6946157,0,27.58158,11.87,0,0,38.37105,46.76408,2.611396,42.8011014724094,42.3022258203655,6.51582518905243,14.7412292128833,0.4230223,0.06515825,85,85,0.002115112,0.0003257912
0.02,S,0.02,0.013191,0,0.6419414,0,55.04814,11.86935,0.009180694,0,38.3621,46.76408,2.61418,117.17494275191,116.451228503389,13.0030223011793,14.9497190276651,1.587535,0.1951885,85,85,0.0121679,0.001627525
0.03,S,0.03,0.01337757,0,0.6426287,0,82.5147,11.8674,0.009452328,0,38.35315,46.76408,2.616965,191.650906988003,190.656782252851,19.4951668449636,15.4601610950723,3.494103,0.3901402,85,85,0.03757609,0.004554168
0.04,S,0.04,0.01383433,0,0.6442424,0,109.9813,11.86416,0.0101342,0,38.3442,46.76408,2.61975,266.190123567391,264.918077990221,25.9921880339094,16.5058850991394,6.143284,0.6500621,85,85,0.08576302,0.009755179
0.05,S,0.05,0.01477008,0,0.6472139,0,112.9326,11.85962,0.01160479,0,38.33525,46.76408,2.622535,274.306558496919,273.004062841593,26.6996199674677,17.935781706843,8.873324,0.9170582,85,85,0.1608461,0.01759078
0.05999999,S,0.05999999,0.01604962,0,0.6505471,0,113.16,11.8543,0.01377305,0,38.3263,46.76408,2.625319,275.055305431006,273.749999435344,26.7648809990482,19.6515363010634,11.61082,1.184707,85,85,0.2632668,0.02809961
0.06999999,S,0.06999999,0.01758495,0,0.6535528,0,113.3874,11.84896,0.01661053,0,38.31735,46.76408,2.628104,275.803376708121,274.495262695189,26.8300831437552,21.5879485712937,14.35577,1.453008,85,85,0.3930997,0.04128818
0.07999999,S,0.07999999,0.01931773,0,0.6558888,0,113.6148,11.84361,0.02011691,0,38.3084,46.76408,2.630889,276.550580013847,275.23966103179,26.8952096310968,23.6935821311309,17.10817,1.72196,85,85,0.5504194,0.05716302
0.08999999,S,0.08999999,0.02120194,0,0.657458,0,113.8422,11.83825,0.02429048,0,38.29945,46.76408,2.633673,277.296964855318,275.983243790785,26.9602645515141,25.9296183330332,19.868,1.991563,85,85,0.7353003,0.07573064
0.09999999,S,0.09999999,0.02320285,0,0.6583079,0,114.0696,11.83288,0.02912902,0,38.2905,46.76408,2.636458,278.042495884114,276.725975714768,27.0252452750562,28.2673196368761,22.63526,2.261815,85,85,0.9478166,0.09699753
0.11,S,0.11,0.02529473,0,0.6585454,0,114.2971,11.8275,0.03463037,0,38.28155,46.76408,2.639243,278.787197067345,277.467880727364,27.090153438695,30.6854774323286,25.40994,2.532717,85,85,1.188043,0.1209702
0.12,S,0.12,0.02745862,0,0.6582901,0,114.5245,11.82211,0.04079272,0,38.2726,46.76408,2.642028,279.531119293455,278.20900948403,27.1549939305267,33.1683669015389,28.19203,2.804267,85,85,1.456053,0.1476551
0.13,S,0.13,0.02968044,0,0.6576512,0,114.7311,11.81671,0.04761462,0,38.26365,46.76408,2.644812,280.2173324247,278.892645690346,27.2148042626439,35.7037131511628,30.98096,3.076415,85,85,1.751917,0.1770585
0.14,S,0.14,0.03194921,0,0.6567215,0,114.9167,11.8113,0.05509363,0,38.2547,46.76408,2.647597,280.845700788619,279.518654205126,27.2695728387109,38.2820672860217,33.77615,3.349111,85,85,2.075703,0.2091862
