Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,11.87,0,0,38.38,46.76408,2.608611,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.6946157,0,27.58158,11.87,0,0,38.37105,46.76408,2.611396,42.8011014724094,42.3022258203655,6.51582518905243,7.41223923828372,0.4230223,0.06515825,85,85,0.002115112,0.0003257912
0.02,S,0.02,0.010,0,0.6946157,0,55.04814,11.86935,0.002511633,0,38.3621,46.76408,2.61418,117.193015259886,116.469237396874,13.0045978751559,7.69576602845612,1.587715,0.1952042,85,85,0.0121688,0.001627604
0.03,S,0.03,0.010,0,0.6946159,0,82.5147,11.8674,0.002707453,0,38.35315,46.76408,2.616965,191.669191220457,190.674998858128,19.4967605913667,8.4787714619874,3.494465,0.3901718,85,85,0.0375797,0.004554484
0.04,S,0.04,0.010,0,0.694616,0,109.9813,11.86416,0.003286418,0,38.3442,46.76408,2.61975,266.208692802837,264.936577590561,25.9938065391715,10.0751496204874,6.143831,0.6501099,85,85,0.08577118,0.009755892
0.05,S,0.05,0.010,0,0.6946163,0,112.9326,11.85962,0.004640447,0,38.33525,46.76408,2.622535,274.325451101567,273.022884537603,26.7012666524487,12.1180224043284,8.87406,0.9171225,85,85,0.1608606,0.01759205
0.05999999,S,0.05999999,0.01084367,0,0.6810524,0,113.16,11.8543,0.006581955,0,38.3263,46.76408,2.625319,275.074821934921,273.769442683446,26.7665820627896,14.4020667296145,11.61175,1.184788,85,85,0.2632897,0.02810161
0.06999999,S,0.06999999,0.01288752,0,0.6541906,0,113.3874,11.84896,0.008930252,0,38.31735,46.76408,2.628104,275.824230225547,274.516037932426,26.8319007414423,16.8330534975516,14.35691,1.453107,85,85,0.393133,0.04129108
0.07999999,S,0.07999999,0.01506287,0,0.648049,0,113.6148,11.84361,0.01208487,0,38.3084,46.76408,2.630889,276.572398486915,275.261397596339,26.8971113340232,19.3588826278488,17.10952,1.722078,85,85,0.5504651,0.057167
0.08999999,S,0.08999999,0.01732308,0,0.6531084,0,113.8422,11.83825,0.0161084,0,38.29945,46.76408,2.633673,277.319200969593,276.005396422555,26.9622026556045,21.9496502609748,19.86957,1.9917,85,85,0.7353606,0.0757359
0.09999999,S,0.09999999,0.01964141,0,0.6562221,0,114.0696,11.83288,0.02080705,0,38.2905,46.76408,2.636458,278.065122437052,276.748517313178,27.0272174093172,24.5873525222617,22.63705,2.261972,85,85,0.9478936,0.09700426
0.11,S,0.11,0.02200175,0,0.6578842,0,114.2971,11.8275,0.02617431,0,38.28155,46.76408,2.639243,278.810198665374,277.490795956486,27.0921582614066,27.2606497156193,25.41196,2.532893,85,85,1.188139,0.1209786
